1;A-1273-82;SANTA
2;A-3918;LA SECRETARIA PELIGROSA (TRAILER)
3;A-4171-76;EL GOLFO
4;A-5566-71;AUDACIA FATAL
5;A-5579;SEDA Y ARENA
6;A-6669-74;ALERTA SUBMARINA
7;A-7358-62;LA ESTAMPIDA MORTAL
8;A-7680-87;MERCADO DE MUJERES
9;A-7697;ALERTA SUBMARINO
10;A-7780;LA HIJA DE JOFTHE
11;A-7863-67;Piroschka
12;A-8244-45;CHANGOS
13;A-8332-35;Los Dias Locos
14;A-8336;Sin Título (Neg.)
15;A-8337;Mack Sennet (Neg)
16;A-8338;Cortos Varios S/T (Neg.)
17;A-8339;Ladrones Aeronautas
18;A-8340;Patinador Loco
19;A-8341-42;Viaje a las Estrellas
20;A-8343;S/T (Neg.)
21;A-8344;S/T (Neg. Y Pos)
22;A-8345;Melodias de Antaño N y P
23;A-8346;Vamonos al Circo
24;A-8347;Labios Pegados
25;A-8348;El Valle de los desaparecidos
26;A-8349;Nerón se Divierte
27;A-8350-51;Antología Italiana
28;A-8352;Escenas de la artista Italiana Hesperia
29;A-8353;Antología Cinematografica Mexicana
30;A-8354;Francis Ford en el Misterio 13
31;A-8552-64;La que no Queria Morir
32;A-8566-88;Las Cruzadas
33;A-8551-64;La que no Queria Morir
34;A-9381-89;Santo vs el estrangulador
35;A-9599-08;Morgan caso clinico
36;A-9794-800;Dos bobos en Oxford
37;A-10113;Film Magazine No.38/39
38;A-10114;Przeglad Filmowi
39;A-10117;Stocznia W Gdyni
40;A-10122;Film Magazyne Przeglad Filmowi No.28 y 29
41;A-10168;Przeglad Filmowy # 25
42;A-10169;Veintiseis Przeglad
43;A-10195;Przeglad Filmowy 36 y 43
44;A-10196;Przeglad Filmowy 42 y 37
45;A-10402;Pueblo de Lata
46;A-10432-36;MUNDO AL INSTANTE
47;A-10700-08;La Sombra del Escorpión
48;A-11604-05;La Borrachera del Tango
49;A-11624;Nicaragua a tres meses de Rev.
50;A-11625;Tepeyac
51;A-11646-54;Un Mundo Nuevo
52;A-11655-65;Caras Nuevas
53;A-11966;Movimieno y Fuerza I
54;A-12179;No Tiene Título
55;A-12193-94;El es Dios
56;A-12303;El trunco Maclovio
57;A-13093-01;Maria
58;A-13107-18;El ultimo viva
59;A-14455-65;NOVIOS DE MIS HIJAS, LOS
60;A-14618-30;Amores Dificiles 
61;A-15061-63;Arrullo de Dios
62;A-15067-69;Las 3 Pelonas
63;A-15358;Przeglad Filmowy No. 6
64;A-15359;Przeglad Filmowy #40 y #10
65;A-15360;Przeglad Filmowy No.25
66;A-15494-99;Muchachas de uniforme
67;A-15566-67;El Vuelo Glorioso de Barberan y Collar
68;A-15568-69;Cayo de la Gloria el Diablo
69;A-15570-71;Danzas y Canciones Mexicanas
70;A-15572;Ensayo de un Crimen 
71;A-15573;Salome la reina
72;A-15575;Mail Handler Spanish
73;A-15833;Palacio Nacional
74;A-15834;Palacio Nacional
75;A-15863;Gas Riesgoso
76;A-15864;Gas
77;A-16284-95;Cuatro Verdades
78;A-27753;Cine Mundial  128
79;A-27974;Cine Mundial  238
80;A-27975;Cine Mundial  238
81;A-28118;Cine Mundial 310
82;A-28119;Cine Mundial 310
83;A-28474;Cine Mundial 482
84;S/N;Cine Mundial 572
85;A-28718;Cine Mundial 334
86;A-28741;Cine Mundial 612
87;A-28897;Cine Mundial 689
88;A-28944;Cine Mundial 712
89;A-28960;Cine Mundial 720
90;A-28965;Cine Mundial 722
91;A-28969;Cine Mundial 724
92;A-28976;Cine Mundial 728
93;A-28982;Cine Mundial 732
94;A-28983;Cine Mundial 733
95;A-29007;Cine Mundial 743
96;A-29052;Cine Mundial 765
97;A-29053;Cine Mundial 766
98;A-29059;Cine Mundial 769
99;A-29229-30;Cine Mundial 854
100;A-29233;Cine Mundial 856
101;S/C;Cine Mundial 877
102;A-29342;Cine Mundial 910
103;A-29343;Cine Mundial 910
104;A-29582-83;Cinescopio  27
105;A-29551;Cinescopio  11
106;A-29582-83;Cinescopio  27
107;A-29749;Cinescopio  110
108;A-29750;Cinescopio  110
109;A-29751;Cinescopio  110
110;A-29982-83;Cinescopio  224
111;A-30100-101;Cinescopio  283
112;A-30120-21;Cinescopio  293
113;A-30122-23;Cinescopio  294
114;A-30124-25;Cinescopio  295
115;A-30126-27;Cinescopio  296
116;A-30128-29;Cinescopio  297
117;A-30130-31;Cinescopio  298
118;A-30132-34;Cinescopio  299
119;A-30135-36;Cinescopio  300
120;A-30137-38;Cinescopio  301
121;A-30139-41;Cinescopio  302
122;A-30142-43;Cinescopio  303
123;A-30144-45;Cinescopio  304
124;A-30146-47;Cinescopio  305
125;A-30148-49;Cinescopio  306
126;A-30150-51;Cinescopio  307
127;A-30152-53;Cinescopio  308
128;A-30154-55;Cinescopio  309
129;A-30156-57;Cinescopio  310
130;A-30158-59;Cinescopio  311
131;A-30160-61;Cinescopio  312
132;A-30162-63;Cinescopio  313
133;A-30164-65;Cinescopio  314
134;A-30166-67;Cinescopio  315
135;A-30168-69;Cinescopio  316
136;A-30170-71;Cinescopio  317
137;A-30172-73;Cinescopio  318
138;A-30174-76;Cinescopio  319
139;A-30177-78;Cinescopio  320
140;A-30179-80;Cinescopio  321
141;A-30181-82;Cinescopio  322
142;A-30184-85;Cinescopio  323
143;A-30186-87;Cinescopio  324
144;A-30189;Cinescopio  325
145;A-30190-91;Cinescopio  326
146;A-30192-93;Cinescopio  327
147;A-30196-97;Cinescopio  329
148;A-30198-99;Cinescopio  330
149;A-30200;Cinescopio  331
150;A-30201;Cinescopio  331
151;A-30202;Cinescopio  332
152;A-30203;Cinescopio  332
153;A-30204;Cinescopio  333
154;A-30205;Cinescopio  333
155;A-30206;Cinescopio  334
156;A-30207;Cinescopio  334
157;A-30208;Cinescopio  335
158;A-30209;Cinescopio  335
159;A-30210;Cinescopio  336
160;A-30211;Cinescopio  336
161;A-30212;Cinescopio  337
162;A-30213;Cinescopio  337
163;A-30214;Cinescopio  338
164;A-30215;Cinescopio  338
165;A-30216;Cinescopio  339
166;A-30217;Cinescopio  339
167;A-30218;Cinescopio  340
168;A-30219;Cinescopio  340
169;A-30220;Cinescopio  341
170;A-30221;Cinescopio  341
171;A-30222;Cinescopio  342
172;A-30223;Cinescopio  342
173;A-30224;Cinescopio  343
174;A-30225;Cinescopio  343
175;A-30226;Cinescopio  344
176;A-30227;Cinescopio  344
177;A-30228;Cinescopio  345
178;A-30229;Cinescopio  345
179;A-30230;Cinescopio  346
180;A-30231;Cinescopio  346
181;A-30232;Cinescopio  347
182;A-30233;Cinescopio  347
183;A-30234;Cinescopio  348
184;A-30235;Cinescopio  348
185;A-30236;Cinescopio  349
186;A-30237;Cinescopio  349
187;A-30238-40;Los forajidos
188;A-30241-55;Los forajidos
189;A-30338;Cinescopio  350
190;A-30339;Cinescopio  350
191;A-30340;Cinescopio  351
192;A-30341;Cinescopio  351
193;A-30342;Cinescopio  352
194;A-30343;Cinescopio  352
195;A-30344;Cinescopio  353
196;A-30345;Cinescopio  353
197;A-30346;Cinescopio  354
198;A-30347;Cinescopio  354
199;A-30348;Cinescopio  355
200;A-30349;Cinescopio  355
201;A-30350;Cinescopio  356
202;A-30351;Cinescopio  356
203;A-30352;Cinescopio  356
204;A-30353;Cinescopio  357
205;A-30354;Cinescopio  357
206;A-30355;Cinescopio  358
207;A-30356;Cinescopio  358
208;A-30357;Cinescopio  359
209;A-30358;Cinescopio  359
210;A-30359;Cinescopio  360
211;A-30360;Cinescopio  360
212;A-30361;Cinescopio  361
213;A-30362;Cinescopio  361
214;A-30363;Cinescopio  362
215;A-30364;Cinescopio  362
216;A-30365;Cinescopio  363
217;A-30366;Cinescopio  363
218;A-30367;Cinescopio  364
219;A-30368;Cinescopio  364
220;A-30369;Cinescopio  365
221;A-30370;Cinescopio  366
222;A-30371;Cinescopio  366
223;A-30372;Cinescopio  367
224;A-30373;Cinescopio  367
225;A-30374;Cinescopio  368
226;A-30375;Cinescopio  368
227;A-30376;Cinescopio  369
228;A-30377;Cinescopio  369
229;A-30378;Cinescopio  370
230;A-30379;Cinescopio  370
231;A-30380;Cinescopio  371
232;A-30381;Cinescopio  371
