01-03;Amanecer ranchero;3
130-139;Las rosas del milagro;10
715-20;La opera de tres centavos;6
720;RIGO;1
721-24;La opera de tres centavos;4
1828;Made in Ungary II;1
1829;Original color centenario;1
1830;Descarte Sossa;1
1831;Icoasa ;1
1832;Autotortura;1
1833;Maniobras contra incendio;1
1834;Europa shorts y peinado;1
1835;Cortos discoteca;1
1836;Café hg;1
1837;IMSS el muerto;1
1838;Original modelo;1
1839;GOHELM;1
1840;Produccion agricola y pesqueros aparatos domesticos;1
1841;Tabasco avanza;1
1842;Copias varias (CP/2);1
1843;Tabasco obras drenaje-mendez;1
1844;Copia color;1
1845;Fundidoras furgones (FHASA);1
1846;Perfida;1
1847;Geomelmin;1
1848;Festival del color Loreal;1
1849;Kalogsaisete I;1
1850;Nuestra Ciudad;1
1851;La rosa de las nieves;1
1852;Fraccionamiento Copacabana;1
1853;Zumpango 74;1
1854;Votovai a tenger matt;1
1855;Gravitacion;1
1856;Sin titulo;1
1857;Votre Choix;1
1858;Riego sobrantes;1
1859;Brucelas Y Monich-Londres;1
1860;Consa varios y norte;1
1861;Geomelmin Hospital Gral.4;1
1862-65;Fiesta de atempan fonadan;1
1866;Aqiahuac;1
1867;A los pies de usted;1
1868;IMSS de med.magica-azufre;1
1869;Gesrta-Resumes techonlogy IBM;1
1870;Videos super Mod. 1990;1
1871;MODAS;1
1872;Siges;1
1873;Centenario;1
1874;Copacabana;1
1875;Exploración ;1
1876;Firme;1
1877;Riego;1
1878;Exploración Petroleos;1
1924-25;Gira Sudamerica;2
1926;Le presidente du Mexique;1
1927;Gimnasia Auditorio NaL.;1
1928;Gimnasia y Natación;1
1929;Natación en Marcha;1
1930;Informe 63;1
1931;Giras II parte;1
1932;President du Mexique;1
1933;Actividades presidencia;1
1934;Punta del Este;1
1935;C-morelos informe;1
1936;Guadalajara;1
1937;Selección Olimpico;1
1938;Estudiantes servicio social;1
1939;El Rey de los albures;1
1940;Desfile 1960;1
1941;Se paro a….;1
1942;Alma provinciana;1
1943;Empadronamiento Resortes;1
1944;Cambiados a Historia del cine;1
1946;Gira candidato Durango;1
1947;Nacion en Marcha N.8;1
1948;Sexto Informe 1970;1
1949;Gimnacia Barra fija ;1
1950;I.E.P.E.S. Tula;1
1951;Presidente Chile;1
1952;La soldadera;1
1953;Informe 72;1
1954;Corona;1
1955;Comité olimpico;1
1956;Nacion en marcha 18;1
1957;Comité Olimpico;1
1958;Antorcha;1
1959;Presidente du Mescique;1
1960; Mexico exporta;1
1961;Comité Olimpico Salto Garrocha;1
1962;Varios informes;1
1963;Señorita de la presidencia;1
1964;Coord.de las prioridades;1
1965;Comité olimpico;1
1966;Festival Ollin;1
1967;Antorcha;1
1968-69;Santo Vs. Los asesinos de la T.V.;2
1970-71;Sangre en el caribe;2
1975-82;Viva la muerte;8
1983-84;Aquí estan los Aguilares;2
1987-88;Coqueta;2
2019-20;Los matones del norte;2
2021-22;Escape sangriento;2
2033-45;La olimpiada de Tokio;13
2046-51;Ritmos de la espartaquiada URSS;6
2089;Sabado de mierda;1
2130-31;Cuatrero;2
2233;Los laureles;1
2270-71;Rigo es amor;2
2272-73;Ases del contrabando;2
2302-03;Los hijos de Sara Mouche;2
2310;Coordinacion del PRI;1
2311;Lecumberri;1
2212-13;Blanca Nieves y sus 7 amantes;2
2315-16;Rigo es amor;2
2317-18;Perseguidos por la ley;2
2319-20;México Norte;2
2591;Sin etiqueta;1
2592;Donde las dan,las toman;1
2611-12;Los Laureles;2
2617-18;Las mujeres de jeremias;2
2619-20;Las computadoras;2
2621-22;Rockeros del barrio;2
